English,Russian
Kakhovskaia,Каховская
Sukharevskaia,Сухаревская
Tekstilshchiki,Текстильщики
Tcvetnoi bulvar,Цветной бульвар
Park Pobedy,Парк Победы
Universitet,Университет
Shosse Entuziastov,Шоссе Энтузиастов
Smolenskaia,Смоленская
Sviblovo,Свиблово
Park kultury,Парк культуры
Bulvar Dmitriia Donskogo,Бульвар Дмитрия Донского
Bulvar Rokossovskogo,Бульвар Рокоссовского
Shelepikha,Шелепиха
Turgenevskaia,Тургеневская
Baumanskaia,Бауманская
Buninskaia Alleia,Бунинская аллея
Shchelkovskaia,Щелковская
Timiriazevskaia,Тимирязевская
